"fieldingTeam","expected_outs_total","expected_outs_converted","unexpected_outs_converted","expected_hits_total","expected_outs_perc","unexpected_outs_perc"
"ARI",896,855,22,533,0.954241071428571,0.0412757973733583
"ATL",906,859,36,481,0.948123620309051,0.0748440748440748
"BAL",807,777,21,464,0.962825278810409,0.0452586206896552
"BOS",858,822,34,445,0.958041958041958,0.0764044943820225
"CHC",797,756,17,323,0.948557089084065,0.0526315789473684
"CIN",964,923,23,508,0.95746887966805,0.0452755905511811
"CLE",929,887,22,438,0.954790096878364,0.0502283105022831
"COL",927,887,14,499,0.956850053937433,0.0280561122244489
"CWS",905,852,31,471,0.941436464088398,0.0658174097664544
"DET",903,862,25,491,0.954595791805094,0.0509164969450102
"HOU",938,892,27,503,0.950959488272921,0.0536779324055666
"KC ",875,836,23,462,0.955428571428571,0.0497835497835498
"LAA",896,845,13,449,0.943080357142857,0.0289532293986637
"LAD",880,840,20,395,0.954545454545455,0.0506329113924051
"MIA",819,793,23,451,0.968253968253968,0.0509977827050998
"MIL",894,852,19,473,0.953020134228188,0.040169133192389
"MIN",865,818,27,542,0.945664739884393,0.0498154981549815
"NYM",871,824,24,443,0.946039035591274,0.054176072234763
"NYY",866,825,22,464,0.952655889145496,0.0474137931034483
"OAK",913,861,21,498,0.943044906900329,0.0421686746987952
"PHI",850,809,21,446,0.951764705882353,0.047085201793722
"PIT",927,891,14,460,0.961165048543689,0.0304347826086957
"SD ",915,875,28,501,0.956284153005464,0.0558882235528942
"SEA",888,846,21,441,0.952702702702703,0.0476190476190476
"SF ",922,887,30,489,0.962039045553145,0.0613496932515337
"STL",912,878,28,471,0.962719298245614,0.059447983014862
"TB ",870,833,23,462,0.957471264367816,0.0497835497835498
"TEX",979,943,19,480,0.963227783452503,0.0395833333333333
"TOR",1020,965,22,450,0.946078431372549,0.0488888888888889
"WSH",834,803,15,413,0.962829736211031,0.036319612590799
