"Launch Angle Range (degrees)","Exit Velocity Range (mph)","Predicted Probability of a Hit"
-85,70,"3.2%"
-84,46,"8.8%"
-82,48,"5.0%"
-82,49,"3.8%"
-82,51,"17.0%"
-82,53,"28.0%"
-82,56,"16.6%"
-82,60,"4.2%"
-82,63,"35.8%"
-82,65,"6.6%"
-81,42,"10.4%"
-81,48,"14.4%"
-81,79,"16.0%"
-80,38,"27.2%"
-80,49,"8.0%"
-80,58,"15.8%"
-79,51,"20.0%"
-78,48,"12.4%"
-78,89,"11.6%"
-77,37,"21.6%"
-77,53,"20.0%"
-77,55,"12.2%"
-77,70,"18.8%"
-77,73,"20.8%"
-77,75,"6.4%"
-77,77,"8.8%"
-76,52,"25.4%"
-76,60,"6.2%"
-75,40,"26.6%"
-75,50,"6.2%"
-75,51,"13.2%"
-75,60,"15.2%"
-75,63,"36.0%"
-75,69,"7.4%"
-74,52,"19.6%"
-73,42,"14.8%"
-73,48,"9.8%"
-73,51,"5.6%"
-73,56,"8.2%"
-73,59,"4.8%"
-73,60,"10.2%"
-73,61,"19.8%"
-73,76,"25.4%"
-72,40,"33.8%"
-72,46,"18.6%"
-72,60,"1.2%"
-72,65,"20.0%"
-72,66,"2.2%"
-72,73,"29.6%"
-71,40,"24.8%"
-71,42,"21.4%"
-71,44,"17.8%"
-71,50,"9.0%"
-71,51,"29.6%"
-71,53,"20.2%"
-71,58,"15.8%"
-71,62,"11.1%"
-71,64,"12.4%"
-71,66,"10.0%"
-70,40,"1.4%"
-70,41,"1.4%"
-70,54,"11.6%"
-70,55,"7.5%"
-70,56,"24.0%"
-70,57,"20.8%"
-70,62,"9.3%"
-70,65,"12.2%"
-70,73,"32.4%"
-70,77,"24.2%"
-69,43,"13.6%"
-69,44,"11.0%"
-69,48,"24.2%"
-69,51,"20.8%"
-69,54,"3.0%"
-69,57,"10.8%"
-69,64,"18.4%"
-69,65,"7.8%"
-69,66,"10.4%"
-68,57,"24.4%"
-68,64,"22.8%"
-68,75,"2.4%"
-67,44,"17.8%"
-67,45,"23.4%"
-67,50,"12.4%"
-67,54,"26.6%"
-67,55,"10.4%"
-67,57,"4.0%"
-67,70,"2.8%"
-67,79,"4.2%"
-66,40,"20.6%"
-66,45,"26.4%"
-66,49,"25.2%"
-66,52,"18.2%"
-66,53,"14.1%"
-66,55,"4.2%"
-66,56,"10.4%"
-66,60,"22.2%"
