Performance Metrics,Model 1,Model 2,Model 3,Model 4,Model 5,Coin Flip Model,All Hits,All Outs
Sensitivity (Recall),85.8%,83.7%,73.9%,52.3%,68.9%,0%,100.0%,0.0%
Precision,85.8%,9.5%,84.2%,54.9%,66.7%,#DIV/0!,30.0%,0.0%
Specificity,92.2%,95.2%,92.3%,76.2%,81.0%,100%,0.0%,100.0%
Overall Accuracy,89.9%,91.1%,85.7%,67.7%,76.7%,70%,30.0%,70.0%
F1 Measure,0.858,0.870,0.787,0.536,0.678,#DIV/0!,0.460,NA
,,,,,,,,
,,,,,,,,
,0,1,,,,,,
0,7000,0,7000,,,,,
1,3000,0,3000,,,,,
,,,,,,,,
Sensitivity (Recall),0%,,,,,,,
Precision,#DIV/0!,,,,,,,
Specificity,100%,,,,,,,
Overall Accuracy,70%,,,,,,,
F1 Measure,#DIV/0!,,,,,,,
