"Launch Angle Range (degrees)","Exit Velocity Range (mph)","Predicted Probability of a Hit"
"-10 to 0","0 to 10","33.4%"
"-10 to 0","10 to 20","36.0%"
"-10 to 0","100 to 110","45.0%"
"-10 to 0","110 to 120","50.3%"
"-10 to 0","20 to 30","29.7%"
"-10 to 0","30 to 40","31.8%"
"-10 to 0","40 to 50","23.4%"
"-10 to 0","50 to 60","20.6%"
"-10 to 0","60 to 70","19.3%"
"-10 to 0","70 to 80","19.3%"
"-10 to 0","80 to 90","24.9%"
"-10 to 0","90 to 100","36.4%"
"-20 to -10","100 to 110","29.4%"
"-20 to -10","110 to 120","35.9%"
"-20 to -10","30 to 40","16.8%"
"-20 to -10","40 to 50","11.7%"
"-20 to -10","50 to 60","14.2%"
"-20 to -10","60 to 70","10.6%"
"-20 to -10","70 to 80","11.9%"
"-20 to -10","80 to 90","15.2%"
"-20 to -10","90 to 100","23.0%"
"-30 to -20","100 to 110","25.5%"
"-30 to -20","30 to 40","28.9%"
"-30 to -20","40 to 50","13.7%"
"-30 to -20","50 to 60","11.5%"
"-30 to -20","60 to 70","9.6%"
"-30 to -20","70 to 80","9.4%"
"-30 to -20","80 to 90","12.1%"
"-30 to -20","90 to 100","21.7%"
"-40 to -30","100 to 110","24.4%"
"-40 to -30","30 to 40","21.5%"
"-40 to -30","40 to 50","17.9%"
"-40 to -30","50 to 60","12.2%"
"-40 to -30","60 to 70","8.2%"
"-40 to -30","70 to 80","9.7%"
"-40 to -30","80 to 90","13.1%"
"-40 to -30","90 to 100","22.9%"
"-50 to -40","20 to 30","27.4%"
"-50 to -40","30 to 40","25.2%"
"-50 to -40","40 to 50","18.1%"
"-50 to -40","50 to 60","15.8%"
"-50 to -40","60 to 70","12.0%"
"-50 to -40","70 to 80","12.5%"
"-50 to -40","80 to 90","18.2%"
"-50 to -40","90 to 100","29.4%"
"-60 to -50","20 to 30","21.8%"
"-60 to -50","30 to 40","16.5%"
"-60 to -50","40 to 50","22.8%"
"-60 to -50","50 to 60","19.3%"
"-60 to -50","60 to 70","15.0%"
"-60 to -50","70 to 80","16.1%"
"-60 to -50","80 to 90","9.8%"
"-60 to -50","90 to 100","21.2%"
"-70 to -60","30 to 40","23.2%"
"-70 to -60","40 to 50","23.6%"
"-70 to -60","50 to 60","16.8%"
"-70 to -60","60 to 70","15.5%"
"-70 to -60","70 to 80","17.2%"
"-70 to -60","80 to 90","16.2%"
"-80 to -70","30 to 40","26.7%"
"-80 to -70","40 to 50","12.1%"
"-80 to -70","50 to 60","15.5%"
"-80 to -70","60 to 70","17.1%"
"-80 to -70","70 to 80","17.9%"
"-90 to -80","30 to 40","27.2%"
"-90 to -80","40 to 50","6.9%"
"-90 to -80","50 to 60","21.1%"
"-90 to -80","60 to 70","19.5%"
"0 to 10","100 to 110","72.7%"
"0 to 10","110 to 120","75.0%"
"0 to 10","30 to 40","33.1%"
"0 to 10","40 to 50","27.2%"
"0 to 10","50 to 60","30.8%"
"0 to 10","60 to 70","34.7%"
"0 to 10","70 to 80","42.3%"
"0 to 10","80 to 90","52.2%"
"0 to 10","90 to 100","62.9%"
"10 to 20","100 to 110","76.9%"
"10 to 20","110 to 120","80.7%"
"10 to 20","30 to 40","39.3%"
"10 to 20","40 to 50","43.2%"
"10 to 20","50 to 60","40.4%"
"10 to 20","60 to 70","52.6%"
"10 to 20","70 to 80","71.3%"
"10 to 20","80 to 90","70.9%"
"10 to 20","90 to 100","66.7%"
"20 to 30","100 to 110","82.6%"
"20 to 30","110 to 120","86.8%"
"20 to 30","30 to 40","58.6%"
"20 to 30","40 to 50","47.7%"
"20 to 30","50 to 60","55.5%"
"20 to 30","60 to 70","68.1%"
"20 to 30","70 to 80","51.1%"
"20 to 30","80 to 90","27.8%"
"20 to 30","90 to 100","38.9%"
"30 to 40","100 to 110","62.8%"
"30 to 40","110 to 120","79.7%"
"30 to 40","30 to 40","40.0%"
"30 to 40","40 to 50","44.1%"
"30 to 40","50 to 60","40.6%"
"30 to 40","60 to 70","44.7%"
"30 to 40","70 to 80","16.7%"
"30 to 40","80 to 90","7.8%"
"30 to 40","90 to 100","20.5%"
"40 to 50","100 to 110","27.7%"
"40 to 50","30 to 40","26.0%"
"40 to 50","40 to 50","27.0%"
"40 to 50","50 to 60","28.8%"
"40 to 50","60 to 70","31.5%"
"40 to 50","70 to 80","9.1%"
"40 to 50","80 to 90","3.6%"
"40 to 50","90 to 100","7.9%"
"50 to 60","100 to 110","24.5%"
"50 to 60","40 to 50","23.8%"
"50 to 60","50 to 60","17.6%"
"50 to 60","60 to 70","20.9%"
"50 to 60","70 to 80","7.1%"
"50 to 60","80 to 90","2.9%"
"50 to 60","90 to 100","6.7%"
"60 to 70","40 to 50","7.8%"
"60 to 70","50 to 60","13.1%"
"60 to 70","60 to 70","18.4%"
"60 to 70","70 to 80","8.4%"
"60 to 70","80 to 90","2.6%"
"60 to 70","90 to 100","4.8%"
"70 to 80","40 to 50","25.4%"
"70 to 80","50 to 60","24.9%"
"70 to 80","60 to 70","14.9%"
"70 to 80","70 to 80","8.8%"
"70 to 80","80 to 90","3.9%"
"70 to 80","90 to 100","5.2%"
"80 to 90","40 to 50","14.4%"
"80 to 90","50 to 60","19.5%"
"80 to 90","60 to 70","20.2%"
"80 to 90","70 to 80","12.5%"
"80 to 90","80 to 90","5.1%"
"80 to 90","90 to 100","5.0%"
